epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2706,1.21195,4.17495,1.20464,0.00274,0.875,0.30829,0.18863,1.04868,3.41659,0.98396,0.00013336,0.00013336,0.00013336
2,28.5452,1.30645,3.71719,1.16257,0.00301,1,0.32982,0.25565,1.03904,3.40035,0.92849,0.000272168,0.000272168,0.000272168
3,35.4382,1.13069,2.5749,1.04576,0.00232,0.75,0.39643,0.26733,1.06883,3.26048,0.98783,0.000399093,0.000399093,0.000399093
4,42.7713,1.24782,2.1009,1.15666,0.00305,1,0.51423,0.31342,1.22243,3.152,1.0677,0.000514136,0.000514136,0.000514136
5,49.1621,1.15236,2.04731,1.09456,0.00268,0.875,0.65045,0.42638,1.2331,3.07597,1.08587,0.000617297,0.000617297,0.000617297
6,55.4798,1.14645,1.93447,1.09931,0.00299,1,0.55849,0.28612,1.4265,3.28948,1.31968,0.000708575,0.000708575,0.000708575
7,61.2067,1.05647,1.79753,1.12211,0.69534,0.3,0.40288,0.25354,1.29383,2.96159,1.20875,0.000787971,0.000787971,0.000787971
8,67.4874,1.15624,1.76611,1.10533,0.00299,1,0.39228,0.26284,1.16845,3.02466,1.35758,0.000855484,0.000855484,0.000855484
9,73.1347,1.09725,1.73435,1.10314,1,0.21778,0.42898,0.24822,1.32973,2.94611,1.52031,0.000911116,0.000911116,0.000911116
10,79.112,1.21612,1.60721,1.15457,1,0.37223,0.83681,0.56442,1.16287,2.47198,1.37976,0.000954864,0.000954864,0.000954864
11,84.7646,1.12342,1.49101,1.12599,0.93983,0.64462,0.77552,0.53296,1.09826,2.47454,1.34981,0.000986731,0.000986731,0.000986731
12,90.2939,1.04415,1.61359,1.07631,0.93924,0.8,0.80742,0.52781,1.17491,2.32061,1.32828,0.000940855,0.000940855,0.000940855
13,95.9844,1.11241,1.44524,1.083,0.90578,0.90243,0.995,0.6066,1.26134,1.84629,1.36191,0.000874842,0.000874842,0.000874842
14,101.538,1.12391,1.43974,1.07915,0.96147,0.87138,0.995,0.61127,1.25164,1.89566,1.37615,0.000808828,0.000808828,0.000808828
15,107.213,0.99741,1.38639,1.03777,0.95944,1,0.995,0.67824,1.11508,1.43019,1.26665,0.000742815,0.000742815,0.000742815
16,118.622,0.98149,1.66327,1.05536,0.95657,1,0.995,0.68863,1.1339,1.49965,1.31378,0.000676802,0.000676802,0.000676802
17,125.983,1.06597,1.747,1.10033,0.98922,1,0.995,0.67437,1.10018,1.20818,1.24069,0.000610789,0.000610789,0.000610789
18,131.792,1.06001,1.67555,1.10821,0.98392,0.99794,0.995,0.70739,1.00232,1.09583,1.17682,0.000544776,0.000544776,0.000544776
19,138.158,0.95905,1.55818,1.06118,0.95974,0.99328,0.995,0.75143,0.92344,1.04046,1.12679,0.000478762,0.000478762,0.000478762
20,144.063,0.93715,1.5301,1.04924,0.95071,0.99271,0.995,0.7599,0.92383,1.05929,1.10789,0.000412749,0.000412749,0.000412749
21,151.012,0.97887,1.55511,1.04552,0.96882,1,0.995,0.76492,1.01651,0.96888,1.12068,0.000346736,0.000346736,0.000346736
22,158.266,1.00769,1.44714,1.08368,0.97179,1,0.995,0.7294,1.06861,0.88874,1.14927,0.000280723,0.000280723,0.000280723
23,165.023,0.93523,1.40686,1.07008,0.97624,1,0.995,0.69645,1.08398,0.88175,1.2135,0.00021471,0.00021471,0.00021471
24,170.903,0.89473,1.38879,1.03221,0.97647,1,0.995,0.70513,1.07608,0.87961,1.23788,0.000148696,0.000148696,0.000148696
25,176.953,0.93487,1.39998,1.05719,0.97647,1,0.995,0.71762,1.08496,0.88324,1.26081,8.26832e-05,8.26832e-05,8.26832e-05
